#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:52:43       0      0      0      0      0      0      0      0      1 
 17:52:43       1      0      0      0      0      0      0      0      0 
 17:52:43       2      0      0      0      0      0      0      0      0 
 17:52:43       3      0      0      0      0      0      0      0      0 
 17:52:44       0      0      0      0      0      0      0      0     70 
 17:52:44       1      0      0      0      0      0      0      0      1 
 17:52:44       2      0      0      0      0      0      0      0      0 
 17:52:44       3      0      0      0      0      0      0      0      0 
 17:52:45       0      2      2      0      0      0      0    167     37 
 17:52:45       1     32     21      0      0      0      0      6      0 
 17:52:45       2     51     31      0      0      0      0      0      1 
 17:52:45       3     19     15      0      0      0      0     10      1 
 17:52:47       0     18     10      0      0      0      0    167     37 
 17:52:47       1      7      5      0      0      0      0      6      0 
 17:52:47       2      3      2      0      0      0      0      0      0 
 17:52:47       3      3      2      0      0      0      0     10      0 
 17:52:48       0     18     10      0      0      0      0    167     38 
 17:52:48       1      7      5      0      0      0      0      6      1 
 17:52:48       2      6      4      0      0      0      0      0      0 
 17:52:48       3      3      2      0      0      0      0     10      1 
 17:52:49       0     18     10      0      0      0      0    167     37 
 17:52:49       1      3      2      0      0      0      0      6      2 
 17:52:49       2      3      2      0      0      0      0      0      0 
 17:52:49       3      3      2      0      0      0      0     10      0 
 17:52:50       0     17     10      0      0      0      0    130     35 
 17:52:50       1      3      3      0      0      0      0      0      3 
 17:52:50       2      3      2      0      0      0      0      0      0 
 17:52:50       3      5      4      0      0      0      0      0     37 
 17:52:51       0     17     10      0      0      0      0    167     16 
 17:52:51       1      7      5      0      0      0      0      0      0 
 17:52:51       2      6      4      0      0      0      0      4      3 
 17:52:51       3      3      2      0      0      0      0      0      0 
 17:52:53       0     18     10      0      0      0      0    167     19 
 17:52:53       1      3      3      0      0      0      0      0      0 
 17:52:53       2      3      2      0      0      0      0      0      5 
 17:52:53       3      3      2      0      0      0      0      0      0 
 17:52:54       0     17     10      0      0      0      0    167     16 
 17:52:54       1      3      3      0      0      0      0      0      1 
 17:52:54       2      3      2      0      0      0      0      0      6 
 17:52:54       3      3      2      0      0      0      0      0      1 
 17:52:55       0     18     10      0      0      0      0    167     18 
 17:52:55       1      3      3      0      0      0      0      0      0 
 17:52:55       2      3      2      0      0      0      0      0      5 
 17:52:55       3      3      2      0      0      0      0      0      1 
#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:52:56       0     16      9      0      0      0      0    167     16 
 17:52:56       1      3      3      0      0      0      0      0      0 
 17:52:56       2      3      2      0      0      0      0      0      6 
 17:52:56       3      3      2      0      0      0      0      0      0 
 17:52:57       0     17     10      0      0      0      0    167     19 
 17:52:57       1      3      3      0      0      0      0      0      0 
 17:52:57       2      3      2      0      0      0      0      0      5 
 17:52:57       3      3      2      0      0      0      0      0      0 
 17:52:58       0     17     10      0      0      0      0    167     16 
 17:52:58       1      3      3      0      0      0      0      0      1 
 17:52:58       2      3      2      0      0      0      0      0      6 
 17:52:58       3      6      5      0      0      0      0      0      0 
 17:53:00       0     18     10      0      0      0      0    167     19 
 17:53:00       1      6      4      0      0      0      0      0      0 
 17:53:00       2      6      4      0      0      0      0      0      5 
 17:53:00       3      5      4      0      0      0      0      0      1 
 17:53:01       0     18     10      0      0      0      0    167     21 
 17:53:01       1      3      2      0      0      0      0      0      0 
 17:53:01       2      3      2      0      0      0      0      0      5 
 17:53:01       3      6      5      0      0      0      0      0      0 
 17:53:02       0     18     10      0      0      0      0    167     21 
 17:53:02       1      7      5      0      0      0      0      0      1 
 17:53:02       2      6      4      0      0      0      0      0      5 
 17:53:02       3      3      2      0      0      0      0      0      0 
 17:53:03       0     18     10      0      0      0      0    229     39 
 17:53:03       1      4      3      0      0      0      0      0      0 
 17:53:03       2      3      2      0      0      0      0      0      1 
 17:53:03       3      3      2      0      0      0      0     12      0 
 17:53:04       0     18     10      0      0      0      0    167     37 
 17:53:04       1      3      3      0      0      0      0      6      0 
 17:53:04       2      3      2      0      0      0      0      0      0 
 17:53:04       3      3      2      0      0      0      0     10      1 
 17:53:05       0     17     10      0      0      0      0    167     38 
 17:53:05       1      3      3      0      0      0      0      6      1 
 17:53:05       2      3      2      0      0      0      0      0      1 
 17:53:05       3      3      2      0      0      0      0     10      1 
 17:53:07       0     17     10      0      0      0      0    167     37 
 17:53:07       1      3      3      0      0      0      0      0      4 
 17:53:07       2      3      2      0      0      0      0      0      0 
 17:53:07       3      6      5      0      0      0      0      0     36 
 17:53:08       0     18     10      0      0      0      0    141     37 
 17:53:08       1      3      3      0      0      0      0      0      3 
 17:53:08       2      6      4      0      0      0      0      0      1 
 17:53:08       3      6      5      0      0      0      0      0     36 
#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:53:09       0     18     10      0      0      0      0     57     35 
 17:53:09       1      6      4      0      0      0      0      0      2 
 17:53:09       2      3      2      0      0      0      0      8      0 
 17:53:09       3      3      2      0      0      0      0      0      4 
 17:53:10       0     17     10      0      0      0      0     68     37 
 17:53:10       1      3      3      0      0      0      0      0      0 
 17:53:10       2      3      2      0      0      0      0     11      0 
 17:53:10       3      3      2      0      0      0      0      0      0 
 17:53:11       0     17     10      0      0      0      0    136     20 
 17:53:11       1      3      3      0      0      0      0      0      1 
 17:53:11       2      3      2      0      0      0      0     12      0 
 17:53:11       3      3      2      0      0      0      0      0      0 
 17:53:12       0     18     10      0      0      0      0    167     18 
 17:53:12       1      4      3      0      0      0      0      0      0 
 17:53:12       2      6      4      0      0      0      0      0      6 
 17:53:12       3      5      4      0      0      0      0      0      0 
 17:53:14       0     18     10      0      0      0      0    157     24 
 17:53:14       1      7      5      0      0      0      0      0      0 
 17:53:14       2      3      2      0      0      0      0      0      5 
 17:53:14       3      3      2      0      0      0      0      0      1 
 17:53:15       0     18     10      0      0      0      0    167     38 
 17:53:15       1      3      3      0      0      0      0      6      1 
 17:53:15       2      3      2      0      0      0      0      0      0 
 17:53:15       3      3      2      0      0      0      0     10      1 
 17:53:16       0     17     10      0      0      0      0    167     37 
 17:53:16       1      3      3      0      0      0      0      6      2 
 17:53:16       2      3      2      0      0      0      0      0      0 
 17:53:16       3      3      2      0      0      0      0     11      0 
 17:53:17       0     17     10      0      0      0      0    125     23 
 17:53:17       1      7      5      0      0      0      0      0      1 
 17:53:17       2      6      4      0      0      0      0     11      4 
 17:53:17       3      3      2      0      0      0      0      0      1 
 17:53:18       0     19     11      0      0      0      0    146     28 
 17:53:18       1      3      3      0      0      0      0      0      0 
 17:53:18       2      3      2      0      0      0      0      0      5 
 17:53:18       3      3      2      0      0      0      0      0      1 
 17:53:20       0     18     10      0      0      0      0    167     38 
 17:53:20       1      7      5      0      0      0      0      0      3 
 17:53:20       2      6      4      0      0      0      0      0      0 
 17:53:20       3      3      2      0      0      0      0      0     36 
 17:53:21       0     18     10      0      0      0      0    151     37 
 17:53:21       1      4      3      0      0      0      0      0      4 
 17:53:21       2      3      2      0      0      0      0      0      0 
 17:53:21       3      3      2      0      0      0      0      0     36 
#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:53:22       0     18     10      0      0      0      0    120     37 
 17:53:22       1      7      5      0      0      0      0      0      3 
 17:53:22       2      3      2      0      0      0      0      0      1 
 17:53:22       3      3      2      0      0      0      0      0     36 
 17:53:23       0     17     10      0      0      0      0     99     37 
 17:53:23       1      3      3      0      0      0      0      0      3 
 17:53:23       2      3      2      0      0      0      0      0      0 
 17:53:23       3      3      2      0      0      0      0      0     36 
 17:53:24       0     17     10      0      0      0      0    115     29 
 17:53:24       1      3      3      0      0      0      0      0      0 
 17:53:24       2      3      2      0      0      0      0     11      0 
 17:53:24       3      3      2      0      0      0      0      0      0 
 17:53:25       0     18     10      0      0      0      0    167     16 
 17:53:25       1      3      3      0      0      0      0      0      1 
 17:53:25       2      5      4      0      0      0      0     11      2 
 17:53:25       3      6      5      0      0      0      0      0      0 
 17:53:27       0     18     10      0      0      0      0    167     16 
 17:53:27       1      7      5      0      0      0      0      0      0 
 17:53:27       2      3      2      0      0      0      0      0      5 
 17:53:27       3      3      2      0      0      0      0      0      1 
 17:53:28       0     18     10      0      0      0      0    167     16 
 17:53:28       1      7      5      0      0      0      0      0      0 
 17:53:28       2      6      4      0      0      0      0      0      5 
 17:53:28       3      3      2      0      0      0      0      0      0 
 17:53:29       0     17     10      0      0      0      0    167     38 
 17:53:29       1      3      3      0      0      0      0      7      0 
 17:53:29       2      3      2      0      0      0      0      0      0 
 17:53:29       3      3      2      0      0      0      0     11      0 
 17:53:30       0     18     10      0      0      0      0    167     37 
 17:53:30       1      3      3      0      0      0      0      7      3 
 17:53:30       2      3      2      0      0      0      0      0      0 
 17:53:30       3      6      5      0      0      0      0     11     34 
 17:53:31       0     18     10      0      0      0      0    167     37 
