#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 14:25:26       0      0      0      0      0      0      0      0      0 
 14:25:26       1      0      0      0      0      0      0      0      0 
 14:25:26       2      0      1      0      0      0      0      0      1 
 14:25:26       3      0      0      0      0      0      0      0      0 
 14:25:28       0      0      0      0      0      0      0    568    130 
 14:25:28       1      0      0      0      0      0      0      0      0 
 14:25:28       2      0      1      0      0      0      0      0      0 
 14:25:28       3      0      0      0      0      0      0      0      0 
 14:25:29       0     19     11      0      0      0      0    198     43 
 14:25:29       1      6      5      0      0      0      0      6      1 
 14:25:29       2      3      2      0      0      0      0      0      4 
 14:25:29       3      5      4      0      0      0      0      0      0 
 14:25:30       0     19     12      0      0      0      0    177     41 
 14:25:30       1      3      2      0      0      0      0      6      0 
 14:25:30       2      6      4      0      0      0      0      0      1 
 14:25:30       3      3      2      0      0      0      0     10      1 
 14:25:31       0     18     11      0      0      0      0    177     20 
 14:25:31       1      3      2      0      0      0      0      0      0 
 14:25:31       2      6      4      0      0      0      0     11      9 
 14:25:31       3      3      2      0      0      0      0     20      1 
 14:25:32       0     19     11      0      0      0      0    188     31 
 14:25:32       1      3      2      0      0      0      0      0      0 
 14:25:32       2      6      4      0      0      0      0      0      4 
 14:25:32       3      3      2      0      0      0      0      0      0 
 14:25:34       0     20     12      0      0      0      0    193     23 
 14:25:34       1      6      5      0      0      0      0      0      2 
 14:25:34       2      6      4      0      0      0      0     10      1 
 14:25:34       3      3      2      0      0      0      0      0      0 
 14:25:35       0     19     12      0      0      0      0    156     33 
 14:25:35       1      6      5      0      0      0      0      0      0 
 14:25:35       2      3      2      0      0      0      0     10      1 
 14:25:35       3      5      4      0      0      0      0      0     36 
 14:25:36       0     19     11      0      0      0      0    110     48 
 14:25:36       1      3      2      0      0      0      0      5      3 
 14:25:36       2      6      4      0      0      0      0      0      0 
 14:25:36       3      3      2      0      0      0      0      0     36 
 14:25:37       0     20     12      0      0      0      0    120     45 
 14:25:37       1      6      5      0      0      0      0      5      3 
 14:25:37       2      6      4      0      0      0      0      0      0 
 14:25:37       3      3      2      0      0      0      0     10      1 
 14:25:38       0     20     12      0      0      0      0    161     41 
 14:25:38       1      6      5      0      0      0      0      6      9 
 14:25:38       2      3      2      0      0      0      0      0      0 
 14:25:38       3      5      4      0      0      0      0     10      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 14:25:39       0     19     12      0      0      0      0    188     43 
 14:25:39       1      3      2      0      0      0      0      6      5 
 14:25:39       2      6      4      0      0      0      0      0      4 
 14:25:39       3      3      2      0      0      0      0      7      1 
 14:25:41       0     19     12      0      0      0      0    188     42 
 14:25:41       1      3      2      0      0      0      0      6      0 
 14:25:41       2      5      4      0      0      0      0      5      4 
 14:25:41       3      3      2      0      0      0      0      0      0 
 14:25:42       0     18     11      0      0      0      0    188     41 
 14:25:42       1      6      5      0      0      0      0      6     15 
 14:25:42       2      3      2      0      0      0      0     15     13 
 14:25:42       3      5      4      0      0      0      0      1      0 
 14:25:43       0     19     12      0      0      0      0    140     41 
 14:25:43       1      6      5      0      0      0      0      0      4 
 14:25:43       2      3      2      0      0      0      0      0      5 
 14:25:43       3      5      4      0      0      0      0     10      0 
 14:25:44       0     46     20      0      0      0      0    192    337 
 14:25:44       1      6      5      0      0      0      0      7      2 
 14:25:44       2      3      2      0      0      0      0      2      0 
 14:25:44       3      6      4      0      0      0      0     17      0 
 14:25:45       0     20     12      0      0      0      0    152     43 
 14:25:45       1      6      5      0      0      0      0      8      0 
 14:25:45       2      6      4      0      0      0      0      2      0 
 14:25:45       3      5      4      0      0      0      0     12      5 
 14:25:47       0     20     12      0      0      0      0    152     46 
 14:25:47       1      6      4      0      0      0      0      8      3 
 14:25:47       2      6      4      0      0      0      0      1      3 
 14:25:47       3      5      4      0      0      0      0     11      9 
 14:25:48       0     21     13      0      0      0      0    183     47 
 14:25:48       1      6      5      0      0      0      0      7      2 
 14:25:48       2      3      2      0      0      0      0      1      5 
 14:25:48       3      5      4      0      0      0      0     13      1 
 14:25:49       0     20     12      0      0      0      0    207     47 
 14:25:49       1      3      2      0      0      0      0     14      2 
 14:25:49       2      3      2      0      0      0      0      7      7 
